,Song,Key,Out of key,Harmonic Minor,,Romanian Minor,,,,Double major,,,,Gypsy Minor,,,,,,Phrygian (dominant),,,,,
,,,,7,#7,4,#4,6,#6,2,♭2,6,♭6,3,♭3,4,#4,6,♭6,2,♭2,6,♭6,7, ♭7
0,random-13-A.txt.mid,A minor,23,2,11,-,-,-,-,37,4,17,23,-,-,-,-,-,-,-,-,-,-,-,-
1,random-15-E.txt.mid,A minor,36,26,12,-,-,-,-,16,13,16,27,-,-,-,-,-,-,16,13,16,27,26,4
2,random-16-D.txt.mid,A minor,47,35,12,35,12,1,12,12,1,16,22,19,16,35,12,1,6,-,-,-,-,-,-
3,random-18-A.txt.mid,A minor,12,15,7,-,-,-,-,16,2,18,32,-,-,-,-,-,-,-,-,-,-,-,-
4,random-19-D.txt.mid,A minor,35,1,5,1,5,7,27,27,7,6,18,1,6,1,5,7,14,-,-,-,-,-,-
5,random-23-A.txt.mid,A minor,29,1,17,-,-,-,-,24,0,13,47,-,-,-,-,-,-,-,-,-,-,-,-
6,random-3-C.txt.mid,A minor,40,6,0,-,-,-,-,14,1,7,23,-,-,-,-,-,-,-,-,-,-,-,-
7,random-32-G.txt.mid,A minor,40,16,2,-,-,-,-,32,3,6,15,-,-,-,-,-,-,-,-,-,-,-,-
8,random-41-A.txt.mid,A minor,10,3,7,-,-,-,-,51,0,16,21,-,-,-,-,-,-,-,-,-,-,-,-
9,random-5-A.txt.mid,A minor,38,5,9,-,-,-,-,28,1,7,16,-,-,-,-,-,-,-,-,-,-,-,-
,,,,110,82,36,17,8,39,257,32,122,244,20,22,36,17,8,20,16,13,16,27,26,4
