,Song,Key,Out of key,Harmonic Minor,,Romanian Minor,,,,Double major,,,,Gypsy Minor,,,,,,Phrygian (dominant),,,,,
,,,,7,#7,4,#4,6,#6,2,♭2,6,♭6,3,♭3,4,#4,6,♭6,2,♭2,6,♭6,7, ♭7
0,random-1-A.txt.mid,C major,10,-,-,-,-,-,-,40,2,14,0,-,-,-,-,-,-,-,-,-,-,-,-
1,random-11-A.txt.mid,E minor,9,26,0,26,0,4,0,0,4,30,46,2,30,26,0,4,26,-,-,-,-,-,-
2,random-12-A.txt.mid,E minor,19,31,4,31,4,8,5,5,8,26,22,0,26,31,4,8,26,-,-,-,-,-,-
3,random-13-A.txt.mid,E minor,38,11,0,11,0,31,5,5,31,36,36,4,36,11,0,31,14,-,-,-,-,-,-
4,random-14-C.txt.mid,A minor,10,18,4,-,-,-,-,0,1,20,40,-,-,-,-,-,-,-,-,-,-,-,-
5,random-19-A.txt.mid,C major,23,-,-,-,-,-,-,23,19,9,0,-,-,-,-,-,-,-,-,-,-,-,-
6,random-21-C.txt.mid,A minor,16,10,10,-,-,-,-,21,3,8,30,-,-,-,-,-,-,-,-,-,-,-,-
7,random-3-C.txt.mid,A minor,8,30,4,-,-,-,-,17,0,24,15,-,-,-,-,-,-,-,-,-,-,-,-
8,random-4-A.txt.mid,A minor,13,2,0,-,-,-,-,22,4,9,37,-,-,-,-,-,-,-,-,-,-,-,-
9,random-7-A.txt.mid,A minor,5,12,0,-,-,-,-,49,5,0,7,-,-,-,-,-,-,-,-,-,-,-,-
,,,,140,22,68,4,43,10,182,77,176,233,6,92,68,4,43,66,0,0,0,0,0,0
