,Song,Key,Out of key,Harmonic Minor,,Romanian Minor,,,,Double major,,,,Gypsy Minor,,,,,,Phrygian (dominant),,,,,
,,,,7,#7,4,#4,6,#6,2,♭2,6,♭6,3,♭3,4,#4,6,♭6,2,♭2,6,♭6,7, ♭7
0,1random-2-A.txt.mid,A minor,16,7,0,-,-,-,-,45,3,1,24,-,-,-,-,-,-,-,-,-,-,-,-
1,1random-4-D.txt.mid,A minor,16,0,8,0,8,0,24,24,0,24,48,0,24,0,8,0,23,-,-,-,-,-,-
2,random-10-B.txt.mid,E minor,0,26,0,-,-,-,-,0,0,27,83,-,-,-,-,-,-,0,0,27,83,26,0
3,random-11-E.txt.mid,A minor,0,71,0,-,-,-,-,0,0,37,136,-,-,-,-,-,-,0,0,37,136,71,0
4,random-12-G.txt.mid,A minor,66,89,0,-,-,-,-,0,45,2,5,-,-,-,-,-,-,-,-,-,-,-,-
5,random-17-G.txt.mid,A minor,77,88,0,-,-,-,-,18,47,0,6,-,-,-,-,-,-,-,-,-,-,-,-
6,random-19-D.txt.mid,A minor,90,12,0,12,0,24,6,6,24,0,12,20,0,12,0,24,44,-,-,-,-,-,-
7,random-20-A.txt.mid,A minor,52,3,24,-,-,-,-,32,12,11,18,-,-,-,-,-,-,-,-,-,-,-,-
8,random-7-A.txt.mid,A minor,1,11,0,-,-,-,-,47,0,0,8,-,-,-,-,-,-,-,-,-,-,-,-
9,random-9-E.txt.mid,A minor,15,0,15,-,-,-,-,23,0,31,41,-,-,-,-,-,-,23,0,31,41,0,0
,,,,307,47,12,8,24,30,195,131,133,381,20,24,12,8,24,67,23,0,95,260,97,0
