,Song,Key,Out of key,Harmonic Minor,,Romanian Minor,,,,Double major,,,,Gypsy Minor,,,,,,Phrygian (dominant),,,,,
,,,,7,#7,4,#4,6,#6,2,♭2,6,♭6,3,♭3,4,#4,6,♭6,2,♭2,6,♭6,7, ♭7
0,new-A.mid,A minor,0,41,0,-,-,-,-,51,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-
1,new-D.mid,A minor,14,12,0,-,-,-,-,16,1,5,25,-,-,-,-,-,-,-,-,-,-,-,-
2,random-1-A.txt.mid,A minor,23,16,0,-,-,-,-,22,8,1,13,-,-,-,-,-,-,-,-,-,-,-,-
3,random-12-A.txt.mid,A minor,5,20,3,-,-,-,-,63,2,19,8,-,-,-,-,-,-,-,-,-,-,-,-
4,random-13-A.txt.mid,A minor,15,13,9,-,-,-,-,22,2,18,47,-,-,-,-,-,-,-,-,-,-,-,-
5,random-15-A.txt.mid,A minor,39,0,22,-,-,-,-,34,8,26,5,-,-,-,-,-,-,-,-,-,-,-,-
6,random-17-A.txt.mid,A minor,11,13,0,-,-,-,-,20,0,23,38,-,-,-,-,-,-,-,-,-,-,-,-
7,random-4-A.txt.mid,A minor,30,14,7,-,-,-,-,27,1,10,13,-,-,-,-,-,-,-,-,-,-,-,-
8,random-5-D.txt.mid,A minor,34,2,31,2,31,0,9,9,0,25,33,3,25,2,31,0,35,-,-,-,-,-,-
9,random-9-E.txt.mid,A minor,24,15,24,-,-,-,-,25,0,23,19,-,-,-,-,-,-,25,0,23,19,15,0
,,,,146,96,2,31,0,9,289,22,156,207,3,25,2,31,0,35,25,0,23,19,15,0
